date,gdp,cpi,unemployment,fed_rate,employment,money_supply,log_gdp
1997-06-30,8518.825,160.0,5.0,5.523333333333333,122554.66666666667,3890.7333333333336,9.050033699514671
1997-09-30,8662.823,160.79999999999998,4.866666666666667,5.533333333333334,123258.33333333333,3951.4666666666667,9.066795929960296
1997-12-31,8765.907,161.66666666666666,4.666666666666667,5.506666666666667,124233.0,4013.3333333333335,9.078625271750676
1998-03-31,8866.48,162.0,4.633333333333333,5.52,124996.0,4086.4666666666667,9.090033153248491
1998-06-30,8969.699,162.53333333333333,4.3999999999999995,5.5,125789.33333333333,4162.900000000001,9.101607398191042
1998-09-30,9121.097,163.36666666666667,4.533333333333333,5.533333333333334,126500.33333333333,4233.400000000001,9.118345360922426
1998-12-31,9293.991,164.13333333333333,4.433333333333334,4.86,127255.33333333333,4343.366666666667,9.137123341277766
1999-03-31,9411.682,164.73333333333332,4.3,4.733333333333333,128017.0,4420.466666666667,9.149706962621138
1999-06-30,9526.21,165.96666666666667,4.266666666666667,4.746666666666667,128831.0,4485.166666666667,9.161802226047486
1999-09-30,9686.626,167.20000000000002,4.233333333333333,5.093333333333334,129588.33333333333,4552.3,9.178501450236753
1999-12-31,9900.169,168.43333333333334,4.066666666666666,5.306666666666667,130476.0,4614.599999999999,9.200307106684049
2000-03-31,10002.179,170.1,4.033333333333333,5.676666666666667,131245.33333333334,4686.733333333334,9.210558248239426
2000-06-30,10247.72,171.4333333333333,3.9333333333333336,6.273333333333333,132016.66666666666,4765.7,9.234810520798934
2000-09-30,10318.165,173.0,4.0,6.52,132266.66666666666,4822.033333333334,9.241661213147948
2000-12-31,10435.744,174.23333333333335,3.9,6.473333333333334,132541.33333333334,4893.966666666666,9.252992115484297
2001-03-31,10470.231,175.9,4.233333333333333,5.593333333333334,132747.33333333334,5023.466666666666,9.256291366658447
2001-06-30,10599.0,177.13333333333333,4.3999999999999995,4.326666666666667,132388.33333333334,5152.266666666666,9.268514936027255
2001-09-30,10598.02,177.63333333333333,4.833333333333333,3.4966666666666666,131985.0,5269.8,9.268422470199445
2001-12-31,10660.465,177.5,5.5,2.1333333333333333,131193.0,5390.8,9.2742973177816
2002-03-31,10783.5,178.0666666666667,5.7,1.7333333333333334,130772.33333333333,5484.566666666667,9.285772467092036
2002-06-30,10887.46,179.46666666666667,5.833333333333333,1.75,130640.0,5528.099999999999,9.295366947216007
2002-09-30,10984.04,180.4333333333333,5.733333333333333,1.74,130556.0,5632.366666666666,9.304198589101773
2002-12-31,11061.433,181.5,5.866666666666667,1.4433333333333334,130566.0,5748.3,9.311219832686993
2003-03-31,11174.129,183.36666666666667,5.866666666666667,1.25,130416.33333333333,5843.099999999999,9.321356474609695
2003-06-30,11312.766,183.0666666666667,6.133333333333333,1.2466666666666668,130184.33333333333,5957.866666666666,9.333687101543891
2003-09-30,11566.669,184.4333333333333,6.133333333333333,1.0166666666666666,130196.66666666667,6078.866666666666,9.355882878995928
2003-12-31,11772.234,185.13333333333333,5.833333333333333,0.9966666666666667,130503.33333333333,6073.3,9.373498986831645
2004-03-31,11923.447,186.70000000000002,5.7,1.0033333333333332,130905.0,6120.7,9.386262076667833
2004-06-30,12112.815,188.16666666666666,5.599999999999999,1.01,131634.33333333334,6251.033333333333,9.402019262052818
2004-09-30,12305.307,189.36666666666667,5.433333333333334,1.4333333333333333,131961.33333333334,6320.5,9.41778591172157
2004-12-31,12527.214,191.4,5.433333333333334,1.95,132521.33333333334,6403.7,9.43565867679878
2005-03-31,12767.286,192.36666666666667,5.3,2.47,132988.66666666666,6439.5,9.454641397073319
2005-06-30,12922.656,193.66666666666666,5.1000000000000005,2.9433333333333334,133718.33333333334,6484.333333333333,9.466737328964827
2005-09-30,13142.642,196.6,4.966666666666667,3.4599999999999995,134452.33333333334,6576.833333333333,9.483617337276664
2005-12-31,13324.204,198.4333333333333,4.966666666666667,3.98,134933.33333333334,6664.3,9.497337509913864
2006-03-31,13599.16,199.46666666666667,4.733333333333333,4.456666666666667,135731.0,6751.566666666667,9.517763305110742
2006-06-30,13753.424,201.26666666666665,4.633333333333333,4.906666666666667,136264.0,6824.333333333333,9.529043090276655
2006-09-30,13870.188,203.16666666666666,4.633333333333334,5.246666666666667,136683.66666666666,6923.933333333333,9.537497067651048
2006-12-31,14039.56,202.33333333333334,4.433333333333334,5.246666666666667,137052.0,7039.966666666667,9.549634338057386
2007-03-31,14215.651,204.317,4.5,5.256666666666667,137604.0,7140.533333333333,9.562098819730098
2007-06-30,14402.082,206.631,4.5,5.25,137969.0,7261.333333333333,9.575128058446262
2007-09-30,14564.117,207.939,4.666666666666667,5.073333333333333,138052.66666666666,7375.8,9.586316042770333
2007-12-31,14715.058,210.4896666666667,4.8,4.496666666666667,138287.66666666666,7455.466666666667,9.596626602216041
2008-03-31,14706.538,212.76966666666667,5.0,3.1766666666666663,138325.0,7597.433333333333,9.59604743579433
2008-06-30,14865.701,215.5376666666667,5.333333333333333,2.0866666666666664,137862.33333333334,7727.5,9.606811892073418
2008-09-30,14898.999,218.861,6.0,1.9400000000000002,137157.0,7823.433333333333,9.60904930846874
2008-12-31,14608.209,213.84866666666667,6.866666666666667,0.5066666666666667,135561.0,8069.2,9.589338909961318
2009-03-31,14430.902,212.37766666666667,8.266666666666667,0.18333333333333335,133295.66666666666,8331.9,9.57712715847684
2009-06-30,14381.236,213.50699999999998,9.299999999999999,0.18000000000000002,131432.0,8433.466666666667,9.573679580293415
2009-09-30,14448.882,215.34399999999997,9.633333333333333,0.15666666666666665,130460.33333333333,8462.966666666665,9.578372320305132
2009-12-31,14651.249,217.03,9.933333333333334,0.12,129976.0,8505.966666666667,9.592280866783826
2010-03-31,14764.61,217.37400000000002,9.833333333333334,0.13333333333333333,129790.66666666667,8509.766666666668,9.599988380012714
2010-06-30,14980.193,217.29733333333334,9.633333333333333,0.19333333333333336,130424.0,8597.6,9.61448414083334
2010-09-30,15141.607,217.93433333333334,9.466666666666667,0.18666666666666668,130391.0,8682.300000000001,9.625201664027133
2010-12-31,15309.474,219.69899999999998,9.5,0.18666666666666668,130733.33333333333,8793.633333333333,9.636227131431873
2011-03-31,15351.448,222.04366666666667,9.033333333333333,0.15666666666666668,131058.33333333333,8907.066666666668,9.638965080813893
2011-06-30,15557.539,224.56833333333336,9.066666666666666,0.09333333333333334,131744.0,9103.266666666668,9.652300623269735
2011-09-30,15647.68,226.03266666666664,9.0,0.08333333333333333,132154.0,9469.699999999999,9.658077942167747
2011-12-31,15842.259,227.04733333333334,8.633333333333333,0.07333333333333335,132710.33333333334,9628.433333333332,9.670436268836422
2012-03-31,16068.805,228.32600000000002,8.266666666666667,0.10333333333333333,133500.33333333334,9799.633333333333,9.68463509380103
2012-06-30,16207.115,228.808,8.2,0.15333333333333335,133923.33333333334,9951.933333333332,9.693205622332334
2012-09-30,16319.541,229.841,8.033333333333333,0.14333333333333334,134337.33333333334,10139.566666666668,9.700118503122583
2012-12-31,16420.419,231.36933333333332,7.8,0.16,134855.66666666666,10369.666666666666,9.706280900342238
2013-03-31,16648.189,232.29933333333335,7.733333333333333,0.14333333333333334,135497.0,10529.033333333333,9.72005672072407
2013-06-30,16728.687,232.045,7.533333333333334,0.11666666666666665,136082.33333333334,10642.466666666667,9.724880309131738
2013-09-30,16953.838,233.29999999999998,7.233333333333333,0.08333333333333333,136619.33333333334,10790.366666666667,9.738249517855506
2013-12-31,17192.019,234.1626666666667,6.933333333333334,0.08666666666666667,137243.33333333334,11001.633333333333,9.752200543486929
2014-03-31,17197.738,235.621,6.666666666666667,0.07333333333333335,137752.66666666666,11173.300000000001,9.752533142525225
2014-06-30,17518.508,236.87233333333333,6.2,0.09333333333333334,138552.66666666666,11325.4,9.771013201046728
2014-09-30,17804.228,237.47833333333332,6.066666666666666,0.09000000000000001,139301.66666666666,11468.199999999999,9.787191236164734
2014-12-31,17912.079,236.88833333333332,5.7,0.09999999999999999,140083.66666666666,11632.533333333333,9.79323056871996
2015-03-31,18063.529,235.35500000000002,5.533333333333334,0.11,140772.66666666666,11866.033333333333,9.801650212090255
2015-06-30,18279.784,236.96,5.433333333333334,0.12333333333333334,141481.0,11969.4,9.813551028745769
2015-09-30,18401.626,237.855,5.1000000000000005,0.1366666666666667,142130.33333333334,12099.233333333332,9.820194309257934
2015-12-31,18435.137,237.837,5.033333333333333,0.16,142821.33333333334,12290.766666666668,9.822013742156768
2016-03-31,18525.933,237.68933333333334,4.8999999999999995,0.36000000000000004,143426.33333333334,12571.066666666666,9.826926813268514
2016-06-30,18711.702,239.59033333333332,4.933333333333334,0.37333333333333335,143967.0,12772.800000000001,9.836904382527967
2016-09-30,18892.639,240.60733333333334,4.8999999999999995,0.39666666666666667,144716.33333333334,12965.933333333334,9.846527654284774
2016-12-31,19089.379,242.13466666666667,4.766666666666667,0.45,145219.0,13171.533333333333,9.856887386070195
2017-03-31,19280.084,243.83866666666665,4.566666666666666,0.7000000000000001,145815.0,13365.566666666666,9.866827925001518
2017-06-30,19438.643,244.12,4.366666666666667,0.9500000000000001,146379.0,13526.633333333333,9.875018271051232
2017-09-30,19692.595,245.287,4.333333333333333,1.1533333333333333,146899.33333333334,13671.0,9.887997955737482
2017-12-31,20037.088,247.23833333333334,4.166666666666667,1.2033333333333334,147348.66666666666,13823.666666666666,9.905340235259132
2018-03-31,20328.553,249.3216666666667,4.033333333333333,1.4466666666666665,147998.0,13926.166666666666,9.919781728486731
2018-06-30,20580.912,250.679,3.9333333333333336,1.7366666666666666,148707.0,14051.133333333333,9.93211932327497
2018-09-30,20798.73,251.68633333333332,3.766666666666667,1.9233333333333331,149219.0,14189.133333333333,9.942647206133005
2018-12-31,20917.867,252.711,3.8333333333333335,2.22,149650.66666666666,14294.933333333334,9.948358953133564
2019-03-31,21111.6,253.38566666666665,3.8666666666666667,2.4033333333333333,150139.66666666666,14484.5,9.957577931433
2019-06-30,21397.938,255.24733333333333,3.6333333333333333,2.3966666666666665,150684.33333333334,14659.433333333334,9.971049841227302
2019-09-30,21717.171,256.08933333333334,3.6,2.19,151157.33333333334,14939.866666666667,9.985858516946
2019-12-31,21933.217,257.888,3.6,1.6433333333333333,151641.0,15264.066666666666,9.995757524679865
2020-03-31,21727.657,258.81766666666664,3.8333333333333335,1.26,151739.33333333334,15625.866666666667,9.986341244151347
2020-06-30,19935.444,256.292,13.0,0.06,133711.66666666666,17666.766666666666,9.900254531952681
2020-09-30,21684.551,259.22166666666664,8.799999999999999,0.09333333333333334,140614.66666666666,18419.63333333333,9.984355350498268
2020-12-31,22068.767,261.0916666666667,6.766666666666667,0.09000000000000001,142580.0,18954.533333333333,10.001918629996423
2021-03-31,22656.793,263.6863333333333,6.233333333333333,0.08,143527.0,19593.266666666666,10.028214997646435
2021-06-30,23368.861,268.5796666666667,5.933333333333334,0.07,145157.0,20354.166666666668,10.05915968864728
2021-09-30,23921.991,272.8863333333333,5.066666666666666,0.09000000000000001,147239.0,20806.333333333332,10.082553440386615
2021-12-31,24777.038,278.71933333333334,4.2,0.08,149185.33333333334,21310.633333333335,10.11767261615808
2022-03-31,25215.491,284.8446666666666,3.8333333333333335,0.12,150742.33333333334,21664.433333333334,10.135213806857427
2022-06-30,25805.791,291.651,3.6333333333333333,0.77,151965.33333333334,21694.2,10.158354203087265
2022-09-30,26272.011,295.50766666666664,3.533333333333333,2.19,153282.66666666666,21590.066666666666,10.176259430948779
2022-12-31,26734.277,298.49833333333333,3.5666666666666664,3.653333333333333,154153.0,21333.766666666666,10.193701803815362
